strategy,scoring_rate,total_score,total_model_score
0_CoT,0.8773824716759995,3839.5,3368.71
1_SC,0.8178617007422843,3839.5,3140.1800000000003
2_ToT,0.8480140643312931,3839.5,3255.95
3_GoT,0.8549759083213961,3839.5,3282.6800000000003
4_Auto-CoT,0.8806563354603464,3839.5,3381.2799999999997
5_GKP,0.8742310196640186,3839.5,3356.6099999999997
6_ART,0.8712618830576898,3839.5,3345.21
7_ReAct,0.8136866779528583,3839.5,3124.1499999999996
8_APE,0.8630576898033598,3839.5,3313.71
9_RAG,0.8883917176715719,3839.5,3410.98
